matrix,rows,cols,nonzeros,blocking_algo,tau,row_block_size,col_block_size,use_pattern,sim_use_groups,sim_measure,reorder,exp_name,b_cols,warmup,exp_repetitions,multiplication_algo,n_streams,time_to_block,time_to_merge,time_to_compare,VBR_nzcount,VBR_nzblocks_count,VBR_average_height,VBR_longest_row,merge_counter,comparison_counter,average_merge_tau,average_row_distance,avg_time_multiply,std_time_multiply
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0001.el,1014,1010,104,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.093013,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0001.el,1014,1010,104,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.102421,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0002.el,1014,1015,209,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.058315,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0005.el,1024,1016,524,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.058432,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0005.el,1024,1016,524,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.074229,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0010.el,1024,1022,1048,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.060224,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0010.el,1024,1022,1048,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.097109,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0010.el,8192,8192,67108,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.339125,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0020.el,1024,1024,2097,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.104512,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0050.el,1024,1024,5242,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.388213,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0050.el,1024,1024,5242,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.15216,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0100.el,1024,1024,10485,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.062592,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0002.el,1014,1015,209,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.083211,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0200.el,1024,1024,20971,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.087435,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0200.el,1024,1024,20971,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.389824,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0500.el,1024,1024,52428,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.631243,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_1000.el,1024,1024,104857,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.242592,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_2000.el,1024,1024,209715,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.432181,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_2000.el,1024,1024,209715,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,1.805344,0
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0001.el,32768,32768,107374,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,2.128373,0
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0002.el,32768,32768,214748,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,3.530998,0
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0005.el,32768,32768,536870,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,2.199413,0
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0010.el,32768,32768,1073741,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,3.855072,0
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0010.el,32768,32768,1073741,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,13.30896,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0001.el,8192,8190,6710,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.511253,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0001.el,8192,8190,6710,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.271541,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0002.el,8192,8192,13421,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.149291,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0002.el,8192,8192,13421,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.416811,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0005.el,8192,8192,33554,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.218901,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0005.el,8192,8192,33554,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.719381,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0500.el,1024,1024,52428,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.151883,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0020.el,8192,8192,134217,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.561131,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0020.el,8192,8192,134217,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,2.008555,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0050.el,8192,8192,335544,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,1.140277,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0100.el,8192,8192,671088,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,2.624021,1
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0100.el,8192,8192,671088,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,7.725088,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0200.el,8192,8192,1342177,3,0.5,1,1,1,0,1,0,,2048,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,4.34416,1.414214
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0200.el,8192,8192,1342177,3,0.5,1,1,1,0,1,0,,8192,1,3,2,16,0,0,0,0,0,#NAME?,0,0,0,0,0,13.75567,1
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0001.el,1014,1010,104,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.011147,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0002.el,1014,1015,209,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.023467,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0050.el,8192,8192,335544,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.116512,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0005.el,1024,1016,524,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.012021,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0010.el,1024,1022,1048,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.01152,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0010.el,1024,1022,1048,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.016011,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0020.el,1024,1024,2097,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.030603,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0050.el,1024,1024,5242,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.022731,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0050.el,1024,1024,5242,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.029195,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0100.el,1024,1024,10485,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.023648,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0200.el,1024,1024,20971,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.021696,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0200.el,1024,1024,20971,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.030315,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0500.el,1024,1024,52428,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.020693,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_0500.el,1024,1024,52428,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.029696,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_1000.el,1024,1024,104857,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.022443,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_1000.el,1024,1024,104857,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.030293,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_2000.el,1024,1024,209715,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.020747,0
../SPARTA_datasets/uniform_sets/uniform_1024x1024_2000.el,1024,1024,209715,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.027072,0
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0001.el,32768,32768,107374,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.930496,1.414214
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0002.el,32768,32768,214748,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.242976,0
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0002.el,32768,32768,214748,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.300224,0
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0005.el,32768,32768,536870,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.116384,0
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0005.el,32768,32768,536870,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.294667,0
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0010.el,32768,32768,1073741,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.126165,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0001.el,8192,8190,6710,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.011627,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0001.el,8192,8190,6710,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.01168,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0002.el,8192,8192,13421,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.036811,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0005.el,8192,8192,33554,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.038923,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0010.el,8192,8192,67108,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.065952,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0010.el,8192,8192,67108,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.675701,1
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0020.el,8192,8192,134217,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.040224,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0020.el,8192,8192,134217,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.119936,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0050.el,8192,8192,335544,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.069675,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0100.el,8192,8192,671088,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.107051,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0200.el,8192,8192,1342177,3,0.5,1,1,1,0,1,0,,2048,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.068811,0
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0005.el,8192,8192,33554,3,0.5,1,1,1,0,1,0,,8192,1,3,1,16,0,0,0,0,0,#NAME?,0,0,0,0,0,0.089419,0
